18202944 9  1304 7 -inf 30
18202704 5  3334 8 -1 0
16548864 18750  1122 1 -inf 10
16290816 16671  1011 1 -inf 12
8164352 24607  2213 5 -inf 14
8160512 81  4232 5 -inf 18
8161536 19  3233 5 -inf 48
8159552 11  1324 8 -5 0
8159300 2  3344 8 -1 0
16547904 16925  3334 4 -inf 16
16547842 17168  1122 4 -inf 27
16289794 262928  2212 6 -inf 25
16293890 16400  1213 7 -inf 10
16285954 8208  1011 8 -5 0
8159490 8  1304 8 -3 0
8159250 4  0414 8 -1 0
24937472 21054  1112 2 -inf -2
24683520 573  0011 2 -inf 8
8168448 605  4231 2 -inf 8
8232960 636  1122 2 -inf 14
7974912 380  2223 4 -inf 15
7970944 120  2322 4 -inf 14
7974912 58  4142 4 -inf 24
7943168 306  0102 4 -inf 24
7435264 305  2233 4 -inf 24
7431232 561  1213 6 -inf 15
7423296 562  3344 6 -inf 26
7423233 522  4433 6 -inf 12
7423296 518  1304 7 -inf 37
7423056 10  3324 8 -1 0
16040960 735  0213 2 -inf 1
16024832 2079  1122 3 -inf 16
15766784 527  2031 3 -inf 22
11638016 589  3132 3 -inf 22
11574272 653  2213 4 -inf 31
11570432 76  1011 4 -inf 33
3443968 200  1122 4 -inf 32
3185920 208  1324 6 -inf 34
3185668 512  2414 6 -inf 42
3185672 256  1404 8 -1 0
12485632 20603  1112 2 -inf -4
12231680 2107  4233 4 -inf 16
12230720 297  2122 4 -inf 22
12103744 57  1213 4 -inf 48
12095808 58  1324 6 -inf 48
12095556 40  2213 7 -inf 33
12091716 48  0102 7 -inf 52
11583812 17  4142 8 -5 0
11552068 513  1304 8 -3 0
11551828 2  3344 8 -1 0
24937472 9039  0102 0 -inf -4
24429568 8543  1121 0 -inf -4
24298496 8607  2111 0 -inf -4
24429568 8638  1122 1 -inf -7
24171520 506  2221 1 -inf -2
24298496 443  4233 3 -inf 12
24297536 279  0212 3 -inf 14
24289280 4119  1213 4 -inf 24
24281344 38  2122 4 -inf 23
24154368 100  0001 4 -inf 24
7901440 1060  2233 6 -inf 52
7897408 1024  3343 8 -1 0
33062916 8752  0011 4 -inf -6
16547844 8496  2434 4.0 -inf 29.0
16547842 9488  3444 5 -inf -10
16547841 9360  4443 5 -inf -15
16547872 12304  0102 5 -inf -4
16039968 73744  1122 7 -inf 34
15781920 256  2223 7 -inf 50
15777952 8  0213 7 -inf 52
15761824 4  4142 7 -inf 51
15729920 64  1324 8 -1 0
8164352 9015  1110 0.0 -inf 12.0
16289856 8731  2213 4 -inf 48
16286016 16403  1303 6 -inf 48
16286272 34  0313 7 -inf 23
16286016 36  4142 7 -inf 23
16253952 160  4233 8 -1 0
12485632 17115  3031 0 -inf -10
10454016 17111  3132 0 -inf 10
10390528 983  1122 0 -inf 12
10132480 1014  1011 0 -inf 12
2006016 766  2213 2 -inf 22
2002176 250  1324 3 -inf 15
2001924 672  2413 7 -inf 52
2002176 1  1314 7 -inf 52
2001928 32  3233 8 -5 0
1999944 1  1424 8 -3 0
1999940 32  3344 8 -1 0
32556032 319  0011 1 -inf -2
16040960 351  1121 1 -inf -2
15909888 415  2131 1 -inf -2
15844352 911  3121 1 -inf -2
15909888 671  0213 3 -inf 5
15893760 62  2122 3 -inf 14
15766784 94  4232 3 -inf 20
15767808 218  1324 4 -inf 12
15767556 320  2223 8 -1 0
24937472 17269  0010 0 -inf -12
16548864 17141  1000 0 -inf -12
24937472 21109  1112 2 -inf -7
24683520 630  4231 2 -inf 4
24748032 694  1213 4 -inf 14
24740096 58  1324 6 -inf 15
24739844 288  0102 7 -inf 42
24231940 64  4142 8 -1 0
16290816 17083  2233 2 -inf 12
16286784 17163  3322 2 -inf 10
16290816 262923  2212 4 -inf -5
16294912 586  4231 4 -inf 8
16359424 526  0102 4 -inf 18
15851520 30  3132 4 -inf 20
15788032 29  1213 4 -inf 25
15780096 30  1011 4 -inf 27
7653632 526  1304 5 -inf -1
7653392 76  0413 5 -inf 27
7653632 200  1122 5 -inf 32
7395584 208  4142 5 -inf 34
7363840 200  1324 5 -inf 33
7363588 16  2414 8 -3 0
7363592 256  1424 8 -1 0
16548864 17055  1122 0.0 -inf 24.0
16290816 8863  2213 4 -inf 8
16286976 54  1314 6 -inf 10
